elem_idx,offset,radius,hitted,tof_total
45,-0.004,0.01,False,0
46,-0.004,0.01,False,0
47,-0.004,0.01,False,0
48,-0.004,0.01,False,0
49,-0.004,0.01,False,0
50,-0.004,0.01,False,0
51,-0.004,0.01,False,0
52,-0.004,0.01,False,0
53,-0.004,0.01,False,0
54,-0.004,0.01,False,0
55,-0.004,0.01,False,0
56,-0.004,0.01,False,0
57,-0.004,0.01,False,0
58,-0.004,0.01,False,0
59,-0.004,0.01,False,0
60,-0.004,0.01,False,0
61,-0.004,0.01,False,0
62,-0.004,0.01,False,0
63,-0.004,0.01,False,0
64,-0.004,0.01,False,0
0,-0.003,0.01,False,0
1,-0.003,0.01,False,0
2,-0.003,0.01,False,0
3,-0.003,0.01,False,0
4,-0.003,0.01,False,0
5,-0.003,0.01,False,0
6,-0.003,0.01,False,0
7,-0.003,0.01,False,0
8,-0.003,0.01,False,0
9,-0.003,0.01,False,0
10,-0.003,0.01,False,0
11,-0.003,0.01,True,0.0001466227963062267
12,-0.003,0.01,False,0
13,-0.003,0.01,False,0
14,-0.003,0.01,True,0.00014641007299187668
15,-0.003,0.01,False,0
16,-0.003,0.01,False,0
17,-0.003,0.01,False,0
18,-0.003,0.01,False,0
19,-0.003,0.01,False,0
20,-0.003,0.01,True,0.00014594976260160102
21,-0.003,0.01,False,0
22,-0.003,0.01,False,0
23,-0.003,0.01,False,0
24,-0.003,0.01,False,0
25,-0.003,0.01,False,0
26,-0.003,0.01,False,0
27,-0.003,0.01,False,0
28,-0.003,0.01,False,0
29,-0.003,0.01,True,0.00014325636996579804
30,-0.003,0.01,True,0.00014480937175222316
31,-0.003,0.01,True,0.00014360455758453473
32,-0.003,0.01,True,0.00014376663749146934
33,-0.003,0.01,False,0
34,-0.003,0.01,False,0
35,-0.003,0.01,False,0
36,-0.003,0.01,False,0
37,-0.003,0.01,False,0
38,-0.003,0.01,False,0
39,-0.003,0.01,False,0
40,-0.003,0.01,False,0
41,-0.003,0.01,False,0
42,-0.003,0.01,False,0
43,-0.003,0.01,False,0
